marxin@marxinbox:~/Programming/creduce-benchmarks/pr94523-template-depth> git co pr94523.ii && TMPDIR=/dev/shm/tmp creduce --n 16 reduce-ice.sh pr94523.ii --timing
Updated 0 paths from the index
2020-04-12 12:02:53,634 INFO ===< 16567 >===
2020-04-12 12:02:53,634 INFO running 16 interestingness tests in parallel
2020-04-12 12:02:53,634 INFO INITIAL PASSES
2020-04-12 12:02:53,634 INFO ===< IncludesPass >===
2020-04-12 12:02:53,759 INFO ===< UnIfDefPass >===
2020-04-12 12:02:53,810 INFO ===< CommentsPass >===
2020-04-12 12:02:55,063 INFO ===< IfPass >===
2020-04-12 12:02:55,104 INFO ===< LineMarkersPass >===
2020-04-12 12:03:01,049 INFO (6.6%, 2034202 bytes)
2020-04-12 12:03:01,052 INFO ===< BlankPass >===
2020-04-12 12:03:04,802 INFO (8.1%, 2002942 bytes)
2020-04-12 12:03:07,234 INFO (8.2%, 1999961 bytes)
2020-04-12 12:03:07,238 INFO ===< ClangBinarySearchPass::replace-function-def-with-decl >===
2020-04-12 12:03:23,650 INFO (14.9%, 1854269 bytes)
2020-04-12 12:03:27,640 INFO (16.1%, 1828236 bytes)
2020-04-12 12:03:32,215 INFO (18.0%, 1787312 bytes)
2020-04-12 12:03:34,985 INFO (20.4%, 1734350 bytes)
2020-04-12 12:03:37,630 INFO (22.7%, 1684947 bytes)
2020-04-12 12:03:40,813 INFO (25.5%, 1622909 bytes)
2020-04-12 12:03:43,307 INFO (26.5%, 1601963 bytes)
2020-04-12 12:03:48,275 INFO (28.2%, 1564584 bytes)
2020-04-12 12:03:52,514 INFO (28.9%, 1549450 bytes)
2020-04-12 12:03:56,137 INFO (29.2%, 1542543 bytes)
2020-04-12 12:03:58,532 INFO (29.7%, 1531614 bytes)
2020-04-12 12:04:02,149 INFO (30.4%, 1516711 bytes)
2020-04-12 12:04:04,481 INFO (31.1%, 1500493 bytes)
2020-04-12 12:04:09,627 INFO (31.3%, 1497137 bytes)
2020-04-12 12:04:12,450 INFO (31.6%, 1490551 bytes)
2020-04-12 12:04:14,713 INFO (31.8%, 1485878 bytes)
2020-04-12 12:04:18,110 INFO (32.0%, 1480810 bytes)
2020-04-12 12:04:20,371 INFO (32.3%, 1475017 bytes)
2020-04-12 12:04:23,733 INFO (32.6%, 1469624 bytes)
2020-04-12 12:04:27,036 INFO (33.3%, 1453421 bytes)
2020-04-12 12:04:29,158 INFO (33.7%, 1445111 bytes)
2020-04-12 12:04:32,291 INFO (34.8%, 1421308 bytes)
2020-04-12 12:04:34,701 INFO (35.2%, 1412849 bytes)
2020-04-12 12:04:37,044 INFO (35.2%, 1411272 bytes)
2020-04-12 12:04:38,912 INFO (35.4%, 1408002 bytes)
2020-04-12 12:04:42,697 INFO (35.6%, 1403948 bytes)
2020-04-12 12:04:45,503 INFO (35.7%, 1401113 bytes)
2020-04-12 12:04:47,812 INFO (36.1%, 1391421 bytes)
2020-04-12 12:04:49,628 INFO (36.5%, 1383984 bytes)
2020-04-12 12:04:52,331 INFO (36.9%, 1375302 bytes)
2020-04-12 12:04:54,517 INFO (37.0%, 1372208 bytes)
2020-04-12 12:04:56,690 INFO (37.1%, 1371396 bytes)
2020-04-12 12:04:58,429 INFO (37.1%, 1369944 bytes)
2020-04-12 12:05:00,174 INFO (37.2%, 1368657 bytes)
2020-04-12 12:05:01,906 INFO (37.2%, 1367540 bytes)
2020-04-12 12:05:04,087 INFO (37.3%, 1366289 bytes)
2020-04-12 12:05:06,261 INFO (37.4%, 1364968 bytes)
2020-04-12 12:05:07,996 INFO (37.4%, 1363593 bytes)
2020-04-12 12:05:09,735 INFO (37.5%, 1361686 bytes)
2020-04-12 12:05:11,896 INFO (37.5%, 1361057 bytes)
2020-04-12 12:05:14,936 INFO (37.9%, 1352721 bytes)
2020-04-12 12:05:16,636 INFO (38.3%, 1345407 bytes)
2020-04-12 12:05:20,055 INFO (38.3%, 1344629 bytes)
2020-04-12 12:05:23,018 INFO (38.3%, 1344095 bytes)
2020-04-12 12:05:25,573 INFO (38.3%, 1343614 bytes)
2020-04-12 12:05:28,949 INFO (38.4%, 1343040 bytes)
2020-04-12 12:05:30,652 INFO (38.5%, 1340569 bytes)
2020-04-12 12:05:34,865 INFO (38.5%, 1340381 bytes)
2020-04-12 12:05:37,392 INFO (38.5%, 1340157 bytes)
2020-04-12 12:05:39,071 INFO (38.5%, 1339965 bytes)
2020-04-12 12:05:41,163 INFO (38.5%, 1339784 bytes)
2020-04-12 12:05:43,680 INFO (38.5%, 1339624 bytes)
2020-04-12 12:05:45,346 INFO (38.5%, 1339117 bytes)
2020-04-12 12:05:47,821 INFO (38.6%, 1338992 bytes)
2020-04-12 12:05:49,878 INFO (38.7%, 1336079 bytes)
2020-04-12 12:05:51,513 INFO (38.7%, 1335331 bytes)
2020-04-12 12:05:53,563 INFO (38.7%, 1334768 bytes)
2020-04-12 12:05:56,436 INFO (38.8%, 1334124 bytes)
2020-04-12 12:05:58,067 INFO (38.8%, 1332842 bytes)
2020-04-12 12:05:59,700 INFO (39.0%, 1328430 bytes)
2020-04-12 12:06:02,557 INFO (39.1%, 1328143 bytes)
2020-04-12 12:06:04,189 INFO (39.1%, 1327912 bytes)
2020-04-12 12:06:06,250 INFO (39.1%, 1327758 bytes)
2020-04-12 12:06:08,286 INFO (39.1%, 1327582 bytes)
2020-04-12 12:06:10,309 INFO (39.1%, 1327414 bytes)
2020-04-12 12:06:11,918 INFO (39.1%, 1327410 bytes)
2020-04-12 12:06:15,570 INFO (39.1%, 1327348 bytes)
2020-04-12 12:06:20,436 INFO (39.1%, 1327125 bytes)
2020-04-12 12:06:22,454 INFO (39.1%, 1327017 bytes)
2020-04-12 12:06:24,467 INFO (39.1%, 1326816 bytes)
2020-04-12 12:06:26,484 INFO (39.5%, 1319034 bytes)
2020-04-12 12:06:28,091 INFO (40.0%, 1306518 bytes)
2020-04-12 12:06:29,651 INFO (40.0%, 1306466 bytes)
2020-04-12 12:06:31,645 INFO (40.0%, 1306454 bytes)
2020-04-12 12:06:31,647 INFO ===< ClangBinarySearchPass::remove-unused-function >===
2020-04-12 12:06:34,942 INFO (40.0%, 1306430 bytes)
2020-04-12 12:06:38,626 INFO (43.9%, 1222794 bytes)
2020-04-12 12:06:40,198 INFO (48.8%, 1115833 bytes)
2020-04-12 12:06:43,991 INFO (50.5%, 1079448 bytes)
2020-04-12 12:06:48,473 INFO (54.0%, 1002253 bytes)
2020-04-12 12:06:50,272 INFO (54.1%, 1000359 bytes)
2020-04-12 12:06:52,060 INFO (56.3%, 951619 bytes)
2020-04-12 12:06:53,451 INFO (58.2%, 911835 bytes)
2020-04-12 12:06:54,831 INFO (59.1%, 891446 bytes)
2020-04-12 12:06:58,984 INFO (60.1%, 868682 bytes)
2020-04-12 12:07:04,001 INFO (61.1%, 847764 bytes)
2020-04-12 12:07:05,974 INFO (61.5%, 837914 bytes)
2020-04-12 12:07:07,593 INFO (62.0%, 827804 bytes)
2020-04-12 12:07:09,190 INFO (62.8%, 810792 bytes)
2020-04-12 12:07:10,443 INFO (63.3%, 799016 bytes)
2020-04-12 12:07:11,956 INFO (64.3%, 777794 bytes)
2020-04-12 12:07:13,021 INFO (64.7%, 768561 bytes)
2020-04-12 12:07:15,419 INFO (65.4%, 754813 bytes)
2020-04-12 12:07:18,611 INFO (66.0%, 741769 bytes)
2020-04-12 12:07:19,651 INFO (66.5%, 730372 bytes)
2020-04-12 12:07:21,199 INFO (66.8%, 723913 bytes)
2020-04-12 12:07:23,470 INFO (67.0%, 719287 bytes)
2020-04-12 12:07:25,485 INFO (67.2%, 714636 bytes)
2020-04-12 12:07:26,493 INFO (67.7%, 704906 bytes)
2020-04-12 12:07:27,732 INFO (67.9%, 699875 bytes)
2020-04-12 12:07:29,711 INFO (68.1%, 694446 bytes)
2020-04-12 12:07:30,677 INFO (68.4%, 689285 bytes)
2020-04-12 12:07:32,606 INFO (68.7%, 681826 bytes)
2020-04-12 12:07:35,223 INFO (69.0%, 675250 bytes)
2020-04-12 12:07:37,588 INFO (69.2%, 671271 bytes)
2020-04-12 12:07:40,880 INFO (69.5%, 664987 bytes)
2020-04-12 12:07:42,257 INFO (69.6%, 662480 bytes)
2020-04-12 12:07:43,391 INFO (69.7%, 659686 bytes)
2020-04-12 12:07:45,183 INFO (69.8%, 657024 bytes)
2020-04-12 12:07:46,516 INFO (69.9%, 654941 bytes)
2020-04-12 12:07:47,393 INFO (70.0%, 652933 bytes)
2020-04-12 12:07:48,477 INFO (70.1%, 650787 bytes)
2020-04-12 12:07:50,215 INFO (70.3%, 648094 bytes)
2020-04-12 12:07:51,957 INFO (70.4%, 645847 bytes)
2020-04-12 12:07:53,029 INFO (70.5%, 642599 bytes)
2020-04-12 12:07:53,891 INFO (70.7%, 638634 bytes)
2020-04-12 12:07:55,384 INFO (70.8%, 636765 bytes)
2020-04-12 12:07:56,655 INFO (70.8%, 635393 bytes)
2020-04-12 12:07:58,351 INFO (70.9%, 633881 bytes)
2020-04-12 12:08:00,051 INFO (71.0%, 631606 bytes)
2020-04-12 12:08:02,799 INFO (71.2%, 627709 bytes)
2020-04-12 12:08:03,860 INFO (71.3%, 625763 bytes)
2020-04-12 12:08:04,901 INFO (71.5%, 621869 bytes)
2020-04-12 12:08:05,931 INFO (71.6%, 619058 bytes)
2020-04-12 12:08:07,794 INFO (71.6%, 617886 bytes)
2020-04-12 12:08:08,830 INFO (71.7%, 616712 bytes)
2020-04-12 12:08:09,646 INFO (71.8%, 615099 bytes)
2020-04-12 12:08:10,666 INFO (71.8%, 613456 bytes)
2020-04-12 12:08:12,100 INFO (72.0%, 609422 bytes)
2020-04-12 12:08:13,727 INFO (72.1%, 608335 bytes)
2020-04-12 12:08:14,953 INFO (72.2%, 606375 bytes)
2020-04-12 12:08:16,186 INFO (72.3%, 602739 bytes)
